id,title,summary,full_text,link,source,category,subcategory,location,impact,severity,keywords,timestamp,processed_at
1765300529453,"Fire breaks out at seven-storey building in Indonesias Jakarta, 20 dead","A fire broke out at a seven-storey building in Indonesias capital Jakarta on Tuesday, an official said on Tuesday, with 20 people confirmed dead. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115799/fire-breaks-out-at-seven-storey-building-in-indonesias-jakarta-20-dead,ada_derana,government,government_general,Sri Lanka,Policy changes announced. Impact on services expected.,medium,[],2025-12-09T22:45:29.453150,2025-12-09T22:45:29.453192
1765300529454,Union calls for debt relief for teachers and principals in disaster-affected areas,The Ceylon Teachers Union (CTU) has urged the government to introduce an immediate concessional relief programme for teachers and principals affected by the recent disaster situation. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115798/union-calls-for-debt-relief-for-teachers-and-principals-in-disaster-affected-areas-,ada_derana,government,government_general,Sri Lanka,Policy changes announced. Impact on services expected.,medium,[],2025-12-09T22:45:29.454613,2025-12-09T22:45:29.454728
1765300529457,Fairly heavy showers above 75 mm predicted for Northern and North-Central provinces,"The Northeast monsoon conditions have established over the island, the Department of Meteorology said. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115797/fairly-heavy-showers-above-75-mm-predicted-for-northern-and-north-central-provinces,ada_derana,government,government_general,Central Province,Public administration update.,info,[],2025-12-09T22:45:29.457064,2025-12-09T22:45:29.457117
1765300529457,A/L exam to resume on Jan. 12,"The Ministry of Education has announced that the 2025 GCE Advanced Level Examination will resume on January 12, 2026. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115796/al-exam-to-resume-on-jan-12,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:45:29.457625,2025-12-09T22:45:29.457669
1765300529458,Another Indian relief aircraft arrives with bailey bridge and medical supplies,Another aircraft carrying a consignment of disaster relief humanitarian aid from India arrived at the Bandaranaike International Airport (BIA) this afternoon (09). MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115795/another-indian-relief-aircraft-arrives-with-bailey-bridge-and-medical-supplies,ada_derana,government,government_general,Sri Lanka,Policy changes announced. Impact on services expected.,medium,[],2025-12-09T22:45:29.458132,2025-12-09T22:45:29.458173
1765300529458,"9,926 schools to reopen on Tuesday, 147 to remain closed - Education Ministry","All schools in the Western, Southern, Northern, Sabaragamuwa, Eastern and North-Central provinces will reopen for academic activities on Tuesday (16), the Secretary to the Ministry of Education, Nalaka Kaluwewe has announced. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115794/9926-schools-to-reopen-on-tuesday-147-to-remain-closed-education-ministry,ada_derana,government,government_general,Central Province,Public administration update.,info,[],2025-12-09T22:45:29.458943,2025-12-09T22:45:29.458988
1765300529459,ASPI gains 439 points during todays trading,"The All Share Price Index (ASPI) of the Colombo Stock Exchange (CSE) closed above the 22,000-point mark after gaining more than 430 points during todays trading. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115792/aspi-gains-439-points-during-todays-trading,ada_derana,government,government_general,Colombo,Public administration update.,info,[],2025-12-09T22:45:29.459348,2025-12-09T22:45:29.459386
1765300529459,Sluice gate of Upper Kotmale Reservoir opened,"A sluice gate of the Upper Kotmale Reservoir has been opened due to rains in catchment areas, the Department of Irrigation has announced. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115791/sluice-gate-of-upper-kotmale-reservoir-opened,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:45:29.459821,2025-12-09T22:45:29.459860
1765300529460,President Anura Kumara expresses gratitude to Donald Trump for standing with Sri Lanka,President Anura Kumara Dissanayake has expressed his gratitude to U.S. President Donald Trump for standing with Sri Lanka yet again at a time of need. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115790/president-anura-kumara-expresses-gratitude-to-donald-trump-for-standing-with-sri-lanka,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:45:29.460296,2025-12-09T22:45:29.460333
1765300529461,"223,000 motorcycles, 55,000 cars and 13,000 three-wheelers registered in 2025  DMT","Motorcycles account for the highest number of vehicle registrations recorded so far this year (2025), the Department of Motor Traffic (DMT) has stated. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115789/223000-motorcycles-55000-cars-and-13000-three-wheelers-registered-in-2025-dmt,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:45:29.461112,2025-12-09T22:45:29.461219
1765300694076,Landslide evacuation warning issued to several areas in four districts extended,The Level-3 (Red) landslide evacuation warning issued to multiple areas in four districts has been extended. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115810/landslide-evacuation-warning-issued-to-several-areas-in-four-districts-extended,ada_derana,government,government_general,Sri Lanka,Policy changes announced. Impact on services expected.,medium,[],2025-12-09T22:48:14.076796,2025-12-09T22:48:14.076879
1765300694078,Co-pilot of helicopter that crashed into Gin Oya in Lunuwila testifies in court,"Flight Lieutenant Eranga Chamara Ekanayake, the co-pilot of the Sri Lanka Air Force Bell 212 aircraft that crashed into the Gin Oya in Lunuwila, Wennappuwa, has stated in court that both the main pilot and he realized there was a technical defect in the aircraft before it crashed. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115809/co-pilot-of-helicopter-that-crashed-into-gin-oya-in-lunuwila-testifies-in-court,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:48:14.078209,2025-12-09T22:48:14.078254
1765300694078,"Office trains from Rambukkana, Polgahawela and Kurunegala to resume tomorrow",The Department of Railways has announced that several office trains on the main line will resume operations tomorrow (10). MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115808/office-trains-from-rambukkana-polgahawela-and-kurunegala-to-resume-tomorrow,ada_derana,government,government_general,Kurunegala,Public administration update.,info,[],2025-12-09T22:48:14.078750,2025-12-09T22:48:14.078791
1765300694079,International airlines expect to transport record 5.2 billion passengers in 2026: IATA,"International airlines expect to transport a record 5.2 billion passengers in 2026 despite global headwinds affecting the sector, the industrys trade association said on Tuesday. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115807/international-airlines-expect-to-transport-record-52-billion-passengers-in-2026-iata,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:48:14.079320,2025-12-09T22:48:14.079361
1765300694080,"Sri Lankas death toll from adverse weather continues to climb, 203 still missing","The death toll due to the adverse weather conditions experienced in the country over the past few days has climbed to 639, the Disaster Management Center (DMC) has confirmed. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115806/sri-lankas-death-toll-from-adverse-weather-continues-to-climb-203-still-missing-,ada_derana,government,government_general,Sri Lanka,Major government announcement affecting public services.,high,[],2025-12-09T22:48:14.080959,2025-12-09T22:48:14.081004
1765300694082,EU releases 1.8 million in emergency assistance for Sri Lanka,"The European Union has released 1.8 million in emergency assistance for Sri Lanka, in response to the devastating landslide and floods in recent days. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115804/eu-releases-18-million-in-emergency-assistance-for-sri-lanka,ada_derana,weather,floods,Sri Lanka,Severe weather conditions posing risks to public safety. Follow official warnings.,high,[],2025-12-09T22:48:14.081984,2025-12-09T22:48:14.082020
1765300694082,Govt urges public not to share personnel information with unauthorized individuals,The general public has been requested not to be misled by fraudulent messages and to refrain from sharing personal information with individuals who claimed to be involved in programmes to provide relief to those affected by Cyclone Ditwah. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115803/govt-urges-public-not-to-share-personnel-information-with-unauthorized-individuals,ada_derana,weather,rainfall_alerts,Sri Lanka,Weather advisory in effect. Minor inconveniences possible.,low,[],2025-12-09T22:48:14.082842,2025-12-09T22:48:14.082879
1765300694083,Train collides with car at Piyadigama railway crossing in Galle,An accident occurred when a car collided with a train at the Piyadigama railway crossing in Galle. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115802/train-collides-with-car-at-piyadigama-railway-crossing-in-galle,ada_derana,traffic,road_accident,Galle,Minor traffic updates. Motorists advised to exercise caution.,low,[],2025-12-09T22:48:14.083340,2025-12-09T22:48:14.083379
1765300694083,Cyclone Ditwah causes extensive pollution along 143km stretch of Sri Lankas coastline,"A total of 143.03 kilometers of Sri Lankas coastline have been polluted due to heavy flooding caused by the impact of Cyclone Ditwah, according to the Marine Environment Protection Authority (MEPA). MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115801/cyclone-ditwah-causes-extensive-pollution-along-143km-stretch-of-sri-lankas-coastline,ada_derana,weather,floods,Sri Lanka,Weather advisory in effect. Minor inconveniences possible.,low,[],2025-12-09T22:48:14.083822,2025-12-09T22:48:14.083859
1765300694085,"National Audit Office to conduct over 3,500 audits in 2026","The National Audit Office is scheduled to conduct a total of 3,508 audits in 2026. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115800/national-audit-office-to-conduct-over-3500-audits-in-2026,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:48:14.084985,2025-12-09T22:48:14.085056
1765300694085,"Fire breaks out at seven-storey building in Indonesias Jakarta, 20 dead","A fire broke out at a seven-storey building in Indonesias capital Jakarta on Tuesday, an official said on Tuesday, with 20 people confirmed dead. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115799/fire-breaks-out-at-seven-storey-building-in-indonesias-jakarta-20-dead,ada_derana,government,government_general,Sri Lanka,Policy changes announced. Impact on services expected.,medium,[],2025-12-09T22:48:14.085780,2025-12-09T22:48:14.085815
1765300694086,Union calls for debt relief for teachers and principals in disaster-affected areas,The Ceylon Teachers Union (CTU) has urged the government to introduce an immediate concessional relief programme for teachers and principals affected by the recent disaster situation. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115798/union-calls-for-debt-relief-for-teachers-and-principals-in-disaster-affected-areas-,ada_derana,government,government_general,Sri Lanka,Policy changes announced. Impact on services expected.,medium,[],2025-12-09T22:48:14.086627,2025-12-09T22:48:14.086667
1765300694087,Fairly heavy showers above 75 mm predicted for Northern and North-Central provinces,"The Northeast monsoon conditions have established over the island, the Department of Meteorology said. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115797/fairly-heavy-showers-above-75-mm-predicted-for-northern-and-north-central-provinces,ada_derana,government,government_general,Central Province,Public administration update.,info,[],2025-12-09T22:48:14.087580,2025-12-09T22:48:14.087622
1765300694088,A/L exam to resume on Jan. 12,"The Ministry of Education has announced that the 2025 GCE Advanced Level Examination will resume on January 12, 2026. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115796/al-exam-to-resume-on-jan-12,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:48:14.088269,2025-12-09T22:48:14.088350
1765300694089,Another Indian relief aircraft arrives with bailey bridge and medical supplies,Another aircraft carrying a consignment of disaster relief humanitarian aid from India arrived at the Bandaranaike International Airport (BIA) this afternoon (09). MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115795/another-indian-relief-aircraft-arrives-with-bailey-bridge-and-medical-supplies,ada_derana,government,government_general,Sri Lanka,Policy changes announced. Impact on services expected.,medium,[],2025-12-09T22:48:14.089155,2025-12-09T22:48:14.089201
1765300694090,"9,926 schools to reopen on Tuesday, 147 to remain closed - Education Ministry","All schools in the Western, Southern, Northern, Sabaragamuwa, Eastern and North-Central provinces will reopen for academic activities on Tuesday (16), the Secretary to the Ministry of Education, Nalaka Kaluwewe has announced. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115794/9926-schools-to-reopen-on-tuesday-147-to-remain-closed-education-ministry,ada_derana,government,government_general,Central Province,Public administration update.,info,[],2025-12-09T22:48:14.090023,2025-12-09T22:48:14.090109
1765300694090,ASPI gains 439 points during todays trading,"The All Share Price Index (ASPI) of the Colombo Stock Exchange (CSE) closed above the 22,000-point mark after gaining more than 430 points during todays trading. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115792/aspi-gains-439-points-during-todays-trading,ada_derana,government,government_general,Colombo,Public administration update.,info,[],2025-12-09T22:48:14.090836,2025-12-09T22:48:14.090884
1765300694091,Sluice gate of Upper Kotmale Reservoir opened,"A sluice gate of the Upper Kotmale Reservoir has been opened due to rains in catchment areas, the Department of Irrigation has announced. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115791/sluice-gate-of-upper-kotmale-reservoir-opened,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:48:14.091388,2025-12-09T22:48:14.091435
1765300694092,President Anura Kumara expresses gratitude to Donald Trump for standing with Sri Lanka,President Anura Kumara Dissanayake has expressed his gratitude to U.S. President Donald Trump for standing with Sri Lanka yet again at a time of need. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115790/president-anura-kumara-expresses-gratitude-to-donald-trump-for-standing-with-sri-lanka,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:48:14.092064,2025-12-09T22:48:14.092150
1765300694093,"223,000 motorcycles, 55,000 cars and 13,000 three-wheelers registered in 2025  DMT","Motorcycles account for the highest number of vehicle registrations recorded so far this year (2025), the Department of Motor Traffic (DMT) has stated. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115789/223000-motorcycles-55000-cars-and-13000-three-wheelers-registered-in-2025-dmt,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:48:14.093608,2025-12-09T22:48:14.093652
1765345485657,H-1B visa appointments postponed for many Indians amid US Social Media rules,The US State Departments new social media vetting policy has triggered massive disruptions for H-1B visa applicants in India as many appointments have been postponed to next year. The US Embassy in India issued an advisory to the visa applicants on Tuesday night. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115826/h-1b-visa-appointments-postponed-for-many-indians-amid-us-social-media-rules,ada_derana,government,government_general,Sri Lanka,Policy changes announced. Impact on services expected.,medium,[],2025-12-10T11:14:45.657912,2025-12-10T11:14:45.657990
1765345485664,Google Maps begins updating Sri Lankas road network  Minister,"Google Maps has commenced updating information pertaining Sri Lankas road network covering around 12,000 kilometers, Minister of Transport Bimal Ratnayake has stated. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115825/google-maps-begins-updating-sri-lankas-road-network-minister,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-10T11:14:45.664077,2025-12-10T11:14:45.664205
1765345485665,"Over 50,000 tourists arrive in first eight days of December","A total of 50,222 tourists have arrived in the country thus far in December, data from the Sri Lanka Tourism Development Authority (SLTDA) shows. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115823/over-50000-tourists-arrive-in-first-eight-days-of-december,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-10T11:14:45.665805,2025-12-10T11:14:45.666000
1765345485667,"Landslide in Bogahapathana, no injuries or casualties reported","A landslide has been reported in Bogahapathana, Meegahakiula. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115821/landslide-in-bogahapathana-no-injuries-or-casualties-reported,ada_derana,government,government_general,Sri Lanka,Government service update for public information.,low,[],2025-12-10T11:14:45.667061,2025-12-10T11:14:45.667153
1765345485670,"Britain sanctions Russian, Chinese entities over disinfo, cyber threats",Britain on Tuesday (Dec 9) sanctioned entities it accused of distorting information in favour of Russia as well as two Chinese companies for alleged cyber activities against the United Kingdom and its allies. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115820/britain-sanctions-russian-chinese-entities-over-disinfo-cyber-threats,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-10T11:14:45.670526,2025-12-10T11:14:45.670749
1765345485671,Youth succumbs following sudden explosion at fireworks factory in Katana,"A youth has died following a sudden explosion at a fireworks manufacturing factory in Kimbulapitiya, Katana, police stated. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115818/youth-succumbs-following-sudden-explosion-at-fireworks-factory-in-katana,ada_derana,safety,fires,Sri Lanka,Safety advisory issued. Public advised to remain vigilant.,low,[],2025-12-10T11:14:45.671719,2025-12-10T11:14:45.671774
1765345485673,Individual arrested over theft of telecom transmission cables in Rambukkana,"An individual has been arrested in connection with the theft of cables installed on a telecommunication transmission tower located in Yatagama, Rambukkana, police stated. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115817/individual-arrested-over-theft-of-telecom-transmission-cables-in-rambukkana,ada_derana,crime,arrests,Sri Lanka,Minor criminal incident reported. Increased police presence.,low,[],2025-12-10T11:14:45.673411,2025-12-10T11:14:45.673475
1765345485674,Train delays reported along the Main Line,"Trains operating along the main line are currently experiencing delays, Sri Lanka Railways has stated. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115816/train-delays-reported-along-the-main-line,ada_derana,traffic,train_delays,Sri Lanka,Minor traffic updates. Motorists advised to exercise caution.,low,[],2025-12-10T11:14:45.674356,2025-12-10T11:14:45.674406
1765345485675,Zelenskiy says he is open to elections if US ensures security,Ukrainian President Volodymyr Zelenskiy said on Tuesday he was prepared to hold elections within three months if the U.S. and Kyivs other allies could ensure the security of the vote. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115815/zelenskiy-says-he-is-open-to-elections-if-us-ensures-security,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-10T11:14:45.675007,2025-12-10T11:14:45.675056
1765345485675,Sri Lanka secures US$ 30 million World Bank loan for renewable energy projects,"The Government of Sri Lanka has arranged a loan of US$ 30 million from the International Development Association of the World Bank Group to finance the implementation of the secure, affordable and sustainable energy for Sri Lanka Project. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115814/sri-lanka-secures-us-30-million-world-bank-loan-for-renewable-energy-projects,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-10T11:14:45.675639,2025-12-10T11:14:45.675687
1765345485676,Floods cannot be allowed to continue to disrupt lives of Colombo residents: PM Harini,"Floods cannot be allowed to continue to disrupt the lives of the people of Colombo, Prime Minister Dr. Harini Amarasuriya stated. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115813/floods-cannot-be-allowed-to-continue-to-disrupt-lives-of-colombo-residents-pm-harini,ada_derana,government,government_general,Colombo,Government service update for public information.,low,[],2025-12-10T11:14:45.676929,2025-12-10T11:14:45.676987
1765345485677,Russia sends 35 tonnes of humanitarian aid to Sri Lanka,"Russia has sent a planeload of humanitarian aid to Sri Lanka after the country was struck by Cyclone Ditwah in late November, Russias RIA news agency reported early on Wednesday, citing Shobini Gunasekera, Sri Lankas ambassador to Moscow. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115812/russia-sends-35-tonnes-of-humanitarian-aid-to-sri-lanka,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-10T11:14:45.677719,2025-12-10T11:14:45.677768
1765345485678,"Heavy showers above 100 mm likely in Northern, North-Central and Eastern provinces today","Showers or thundershowers are expected in the Northern, North-Central, Eastern, Central, Southern and Uva provinces today, the Department of Meteorology stated. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115811/heavy-showers-above-100-mm-likely-in-northern-north-central-and-eastern-provinces-today,ada_derana,government,government_general,Eastern Province,Public administration update.,info,[],2025-12-10T11:14:45.678390,2025-12-10T11:14:45.678437
1765345485679,Landslide evacuation warning issued to several areas in four districts extended,The Level-3 (Red) landslide evacuation warning issued to multiple areas in four districts has been extended. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115810/landslide-evacuation-warning-issued-to-several-areas-in-four-districts-extended,ada_derana,government,government_general,Sri Lanka,Policy changes announced. Impact on services expected.,medium,[],2025-12-10T11:14:45.679275,2025-12-10T11:14:45.679320
1765345485680,Co-pilot of helicopter that crashed into Gin Oya in Lunuwila testifies in court,"Flight Lieutenant Eranga Chamara Ekanayake, the co-pilot of the Sri Lanka Air Force Bell 212 aircraft that crashed into the Gin Oya in Lunuwila, Wennappuwa, has stated in court that both the main pilot and he realized there was a technical defect in the aircraft before it crashed. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115809/co-pilot-of-helicopter-that-crashed-into-gin-oya-in-lunuwila-testifies-in-court,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-10T11:14:45.680948,2025-12-10T11:14:45.680993
1765345485681,"Office trains from Rambukkana, Polgahawela and Kurunegala to resume tomorrow",The Department of Railways has announced that several office trains on the main line will resume operations tomorrow (10). MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115808/office-trains-from-rambukkana-polgahawela-and-kurunegala-to-resume-tomorrow,ada_derana,government,government_general,Kurunegala,Public administration update.,info,[],2025-12-10T11:14:45.681629,2025-12-10T11:14:45.681675
1765345485682,International airlines expect to transport record 5.2 billion passengers in 2026: IATA,"International airlines expect to transport a record 5.2 billion passengers in 2026 despite global headwinds affecting the sector, the industrys trade association said on Tuesday. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115807/international-airlines-expect-to-transport-record-52-billion-passengers-in-2026-iata,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-10T11:14:45.682488,2025-12-10T11:14:45.682534
1765345485683,"Sri Lankas death toll from adverse weather continues to climb, 203 still missing","The death toll due to the adverse weather conditions experienced in the country over the past few days has climbed to 639, the Disaster Management Center (DMC) has confirmed. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115806/sri-lankas-death-toll-from-adverse-weather-continues-to-climb-203-still-missing-,ada_derana,government,government_general,Sri Lanka,Major government announcement affecting public services.,high,[],2025-12-10T11:14:45.683292,2025-12-10T11:14:45.683337
